id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,categoria_general,link
7990,men,Apparel,topwear,tshirts,Navy Blue,Fall,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/296a8c388d05d67346db88af27d3b763_images.jpg
37812,men,Apparel,topwear,shirts,Navy Blue,Summer,2012.0,Formal,John Players Men Navy Blue Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/3af9f145845d8453a066322de35980af_images.jpg
4729,boys,Apparel,topwear,tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,camiseta,http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg
56825,men,Apparel,topwear,shirts,Brown,Summer,2012.0,Casual,John Players Men Brown Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/John-Players-Men-Brown-Shirt_7eec3b0568f65dc8f39a534376538551_images.jpg
3954,women,Apparel,topwear,tshirts,Pink,Summer,2011.0,Casual,Jealous 21 Women's Pink T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/b56e261f9206aa95e42c43f4e62d0e5a_images.jpg
8580,men,Apparel,topwear,waistcoat,Grey,Fall,2011.0,Casual,Scullers Men  Grey Waistcoat,abrigo,http://assets.myntassets.com/v1/images/style/properties/0d2e2ceaaf6d09d447caad678b2edbe6_images.jpg
18005,men,Apparel,bottomwear,shorts,Black,Summer,2011.0,Sports,Puma Men Long Logo Black Bermuda,short,http://assets.myntassets.com/v1/images/style/properties/91ca48e3204f23cd376fad7f186875bf_images.jpg
9452,men,Apparel,topwear,shirts,Red,Fall,2011.0,Formal,John Miller Men Stripes White Red Shirts,camisa,http://assets.myntassets.com/v1/images/style/properties/5e557eb0be7c6420f7c7a6bbaa432993_images.jpg
5891,men,Apparel,topwear,tshirts,Black,Summer,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/02e4e32cd9d09052f0ec3d46fa747d39_images.jpg
38630,women,Apparel,topwear,tshirts,Purple,Summer,2012.0,Casual,Nike Women Purple Polo T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/206a0614c4644cd8816576efd47d60d8_images.jpg
4943,men,Apparel,topwear,shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,camisa,http://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg
10866,men,Apparel,topwear,tshirts,Red,Fall,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,camiseta,http://assets.myntassets.com/v1/images/style/properties/b34550bc6415dcd66892de4ef2837fd9_images.jpg
15528,men,Apparel,topwear,tshirts,Black,Fall,2011.0,Casual,Puma Men Scribble Black Tshirts,camiseta,http://assets.myntassets.com/v1/images/style/properties/cd16e955e4b6b3f9d7089c15652a3f00_images.jpg
54924,men,Apparel,bottomwear,shorts,Blue,Summer,2012.0,Casual,Do U Speak Green Men Blue Shorts,short,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Men-Blue-Shorts_40b6775eae62124195817a64d4ae4a93_images.jpg
9660,men,Apparel,topwear,shirts,Pink,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts,camisa,http://assets.myntassets.com/v1/images/style/properties/0be615f02ae1f1cfe78155555a79007c_images.jpg
2288,women,Apparel,topwear,tshirts,Black,Fall,2010.0,Sports,Nike Women Black T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/135f9aa8141d682fc218393049c70324_images.jpg
23876,men,Apparel,topwear,sweatshirts,Blue,Fall,2011.0,Casual,ADIDAS Men Blue Sweatshirt,abrigo,http://assets.myntassets.com/v1/images/style/properties/fcd52c6506b43f3af116a62c2ea81204_images.jpg
18237,men,Apparel,topwear,tshirts,Red,Fall,2011.0,Casual,Manchester United Men Solid Red Tshirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/eba1c1b241555d8afa3f7232ed2c6933_images.jpg
49653,women,Apparel,topwear,tops,Green,Summer,2012.0,Casual,Mineral Women Green Top,top,http://assets.myntassets.com/v1/images/style/properties/fe446adf94f9beb301b61bfc75a70bfa_images.jpg
13419,men,Apparel,topwear,tshirts,Pink,Summer,2011.0,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,camiseta,http://assets.myntassets.com/v1/images/style/properties/8d7f0bbb0bdefcbcc692bcdf4a6400ee_images.jpg
58513,women,Apparel,topwear,tops,Off White,Summer,2012.0,Casual,Tonga Women Maroon Top,top,http://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Maroon-Top_e5cc855ba59e5640817434d45f9c088d_images.jpg
52029,unisex,Apparel,topwear,rain jacket,Coffee Brown,Summer,2012.0,,Just Natural Unisex Charcoal Rain Jacket,abrigo,http://assets.myntassets.com/v1/images/style/properties/cbc319393da4e3d0eb140d3c8a045d2c_images.jpg
5865,men,Apparel,topwear,tshirts,Black,Summer,2011.0,Casual,ADIDAS Men's Twelve Faster T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/2d986dbf9e5f64e3ab8471120c557db4_images.jpg
39716,women,Apparel,dress,dresses,Blue,Summer,2012.0,Casual,Arrow Woman Women Blue Dress,falda/vestido,http://assets.myntassets.com/v1/images/style/properties/c5b0d7c1f0308be020655bc10ca16427_images.jpg
29584,men,Apparel,topwear,tshirts,Black,Summer,2012.0,Casual,Indigo Nation Men Printed Black T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/7a1bc7d255671c7f4b85f1b1b35e945b_images.jpg
28456,women,Apparel,bottomwear,skirts,Blue,Summer,2012.0,Sports,Urban Yoga Women Blue Skirt With Leggings,falda/vestido,http://assets.myntassets.com/v1/images/style/properties/c3a37f190933411b11c0fa488bc8bc4d_images.jpg
34009,girls,Apparel,topwear,tops,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Top,top,http://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg
9694,men,Apparel,topwear,tshirts,White,Fall,2011.0,Casual,Classic Polo Men Vulcan White Polo Tshirts,camiseta,http://assets.myntassets.com/v1/images/style/properties/9b9622c9c440e59a67c876cf07706f3c_images.jpg
15984,men,Apparel,topwear,shirts,Yellow,Fall,2011.0,Casual,Turtle Check Men Yellow Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/1049df82b306da238c324c6c7031b135_images.jpg
59297,men,Apparel,topwear,shirts,White,Fall,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/US-Polo-Assn-Men-White---Navy-Blue-Shirt_233bed1565b9ac72f62fb685a2223f3c_images.jpg
27846,women,Apparel,topwear,blazers,Charcoal,Summer,2012.0,Formal,Scullers For Her Charcoal Blazer,abrigo,http://assets.myntassets.com/v1/images/style/properties/a2826334fe816ee0e95ce93b8aabc90d_images.jpg
26994,women,Apparel,bottomwear,jeans,Black,Summer,2012.0,Casual,Jealous 21 Women Black Jeans,pantalon,http://assets.myntassets.com/v1/images/style/properties/Jealous-21-Women-Black-Jeans_6c38590b2ec56b444a760aa56a8ef7e9_images.jpg
8322,boys,Apparel,topwear,tshirts,Blue,Fall,2011.0,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,camiseta,http://assets.myntassets.com/v1/images/style/properties/117451d5bf32c9ec341a6dfd0c28121a_images.jpg
7158,men,Apparel,topwear,shirts,Green,Fall,2011.0,Casual,Scullers Men  Green Check Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/9b2dc2cfc35d37aee2f4d46532384605_images.jpg
19547,men,Apparel,topwear,sweatshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,abrigo,http://assets.myntassets.com/v1/images/style/properties/2641289161a53042c64ced38cadb099b_images.jpg
7964,men,Apparel,topwear,tshirts,Black,Fall,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/59433decf845a0c856d3879435d95560_images.jpg
16392,men,Apparel,topwear,shirts,Red,Fall,2011.0,Casual,Levis Men Check Red Shirts,camisa,http://assets.myntassets.com/v1/images/style/properties/9584fab8cde60a77e797973020e5c91d_images.jpg
51455,women,Apparel,topwear,shrug,Pink,Summer,2012.0,Casual,Tonga Women Pink Printed Shrug,top,http://assets.myntassets.com/v1/images/style/properties/28d91b2c102e5742714c7f706a73eeb4_images.jpg
17240,men,Apparel,topwear,tshirts,Black,Fall,2011.0,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/7648ed40d904bf77502b84894f9cb980_images.jpg
6617,men,Apparel,topwear,shirts,Black,Summer,2011.0,Casual,Spykar Men Black and white Check Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/5c0c7cee1d5905a18f6a8d4821ae21aa_images.jpg
3365,men,Apparel,topwear,tshirts,Black,Summer,2011.0,Casual,Myntra Men's Brain Black T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/477a546e340e50d1c7d4fb252a146692_images.jpg
10065,men,Apparel,topwear,tshirts,Yellow,Fall,2011.0,Casual,Puma Men ducati logo tee Yellow Tshirts,camiseta,http://assets.myntassets.com/v1/images/style/properties/ef754e63472dece06abfa6d6c1266d91_images.jpg
5092,men,Apparel,topwear,tshirts,Purple,Summer,2011.0,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/f9622342fedb746c6515647f128b94a6_images.jpg
10859,men,Apparel,topwear,tshirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,camiseta,http://assets.myntassets.com/v1/images/style/properties/cc57b520818a0ada689545d2bdd025d9_images.jpg
10257,men,Apparel,bottomwear,trousers,Black,Fall,2011.0,Formal,John Miller Men Solid Type Black Trousers,pantalon,http://assets.myntassets.com/v1/images/style/properties/bbddb8510d402639e0a038bde5ec08bb_images.jpg
24062,men,Apparel,topwear,tshirts,Navy Blue,Summer,2012.0,Casual,Locomotive Men Navy Blue Printed T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/b24d6360e5f726e86b7db28e2225894b_images.jpg
11385,women,Apparel,topwear,sweatshirts,Black,Fall,2011.0,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,abrigo,http://assets.myntassets.com/v1/images/style/properties/c843af98fead5393ecf56934e07ca496_images.jpg
22395,men,Apparel,topwear,shirts,Blue,Fall,2011.0,Casual,Mark Taylor Men Striped Blue Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/e01152d30659f4099b46cb0c1fcb918b_images.jpg
31782,women,Apparel,topwear,tops,Blue,Summer,2012.0,Casual,Lee Women Paula Blue Top,top,http://assets.myntassets.com/v1/images/style/properties/5b427e7381af213df2d54a17cd193aea_images.jpg
12500,men,Apparel,topwear,shirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Short Black Shirts,camisa,http://assets.myntassets.com/v1/images/style/properties/47e0bf9f4a04bd6f5901c0f4fc65e54d_images.jpg
30650,men,Apparel,topwear,tshirts,Black,Summer,2012.0,Casual,Nike Men Printed Black T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/75c8932f3b5a274c73e3c94f95540d7b_images.jpg
32563,women,Apparel,bottomwear,trousers,Blue,Summer,2012.0,Casual,ONLY Women directoire blue Trousers,pantalon,http://assets.myntassets.com/v1/images/style/properties/ONLY-Women-directoire-blue-Trousers_9ad40a06ae4b8c071f84e12599c1c9b7_images.jpg
40143,girls,Apparel,topwear,tops,Blue,Summer,2012.0,Casual,Gini and Jony Girls Pretty Blossom Blue Top,top,http://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg
21174,women,Apparel,topwear,tops,Beige,Fall,2011.0,Casual,s.Oliver Women Stripes Beige Top,top,http://assets.myntassets.com/v1/images/style/properties/5a76ef8930d8bd543d8f7e6f5383d390_images.jpg
15341,women,Apparel,bottomwear,shorts,Pink,Fall,2011.0,Sports,Nike Women Solid Pink Shorts,short,http://assets.myntassets.com/v1/images/style/properties/f105cf31753c2cbdf23e8722dc83a019_images.jpg
53554,men,Apparel,innerwear,boxers,Multi,Summer,2016.0,Casual,Probase Multicoloured Printed Boxers,short,http://assets.myntassets.com/v1/images/style/properties/Probase-Men-Yellow-Boxers_80cada245724ee958e0c5721d51cfab7_images.jpg
14293,men,Apparel,topwear,tshirts,Blue,Fall,2011.0,Casual,Classic Polo Men Stripes Blue Tshirts,camiseta,http://assets.myntassets.com/v1/images/style/properties/8e4099bc672a376b156e1fe903fd5e16_images.jpg
6041,men,Apparel,topwear,tshirts,Navy Blue,Summer,2011.0,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/b54b7d7f19b9dbb54c85c584719c46ef_images.jpg
23623,girls,Apparel,topwear,tops,Pink,Fall,2011.0,Casual,Doodle Kids Girls Pink I love Shopping Top,top,http://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg
9835,women,Apparel,topwear,tshirts,Grey,Fall,2011.0,Casual,Little Miss Women Printed Grey T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/e2604389938f13f2cc1a772bba320a45_images.jpg
7193,women,Apparel,bottomwear,jeans,Black,Fall,2011.0,Casual,Jealous 21 Women Black Jegging,pantalon,http://assets.myntassets.com/v1/images/style/properties/054b93509e888e996ba7b12b554870e3_images.jpg
3533,men,Apparel,topwear,tshirts,Navy Blue,Summer,2011.0,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/c6a6fbe4d75e40529b7be5427d095142_images.jpg
17624,men,Apparel,bottomwear,track pants,Navy Blue,Fall,2011.0,Sports,ADIDAS Men Solid Navy Blue Track Pant,pantalon,http://assets.myntassets.com/v1/images/style/properties/98252134c6398e50aeebd873e6eafceb_images.jpg
47154,girls,Apparel,bottomwear,capris,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Capris,short,http://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg
13284,men,Apparel,bottomwear,shorts,Black,Fall,2011.0,Casual,Gini and Jony Kids Boys Solid Black Shorts,short,http://assets.myntassets.com/v1/images/style/properties/1d2eaf1491e0bf4906165ab1eaff3ad1_images.jpg
26163,men,Apparel,bottomwear,trousers,Grey,Summer,2012.0,Formal,John Miller Men Dark Grey Trousers,pantalon,http://assets.myntassets.com/v1/images/style/properties/987d4390421e951dafe4bfdaba57f5fd_images.jpg
3701,women,Apparel,topwear,tshirts,Black,Summer,2011.0,Casual,Tantra Women Flower Heart Black Long T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/906c588711dcf840a61168758f463664_images.jpg
10401,women,Apparel,topwear,tops,Purple,Fall,2011.0,Casual,Jealous 21 Women Uaine Purple Tops,top,http://assets.myntassets.com/v1/images/style/properties/144954d20ce2e31fe6953f3e249e9a68_images.jpg
40371,women,Apparel,bottomwear,jeans,Navy Blue,Summer,2012.0,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,pantalon,http://assets.myntassets.com/v1/images/style/properties/a6ea6713bae041ef4f62d3612586d1ef_images.jpg
37223,women,Apparel,topwear,tops,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Blue Top,top,http://assets.myntassets.com/v1/images/style/properties/58c4b740c2d2e9b52c6900579c7ff2d2_images.jpg
53766,men,Apparel,topwear,tshirts,White,Summer,2012.0,Casual,Puma Men White and Navy Blue T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-White-and-Navy-Blue-Stripe-Polo-T-shirt_a81acd98afcadd66fa8ee8531c82ad46_images.jpg
25520,girls,Apparel,topwear,tops,White,Fall,2011.0,Casual,Doodle Kids Girls City Chic White Top,top,http://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg
32597,women,Apparel,topwear,tops,Black,Summer,2012.0,Casual,ONLY Women Black Top,top,http://assets.myntassets.com/v1/images/style/properties/9d4d7aa206e22813311c0a0406ce02a4_images.jpg
57100,women,Apparel,topwear,tops,Pink,Summer,2012.0,Casual,Elle Women Dark Pink Top,top,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Dark-Pink-Top_ce0e1c18ffc47444dcb28bb7b78ae13f_images.jpg
16530,men,Apparel,topwear,shirts,Red,Fall,2011.0,Casual,Locomotive Men Check Red Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/e87ae94ffdf37c089daaad8d451f6995_images.jpg
7167,men,Apparel,topwear,shirts,Purple,Fall,2011.0,Casual,Scullers Men Scul Purple White Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/11dcaeada4fab2e575c449e922425c5d_images.jpg
46240,women,Apparel,topwear,tunics,White,Summer,2012.0,Casual,Fusion Beats Women White Printed Tunic,top,http://assets.myntassets.com/v1/images/style/properties/3c92594cc9b62cba6a314a9ca9fd1e19_images.jpg
6889,women,Apparel,topwear,jackets,Cream,Summer,2011.0,Casual,Forever New Women Stone Cream Jacket,abrigo,http://assets.myntassets.com/v1/images/style/properties/01c417703d7775105ba346c691f4700b_images.jpg
12190,men,Apparel,topwear,shirts,Blue,Fall,2011.0,Casual,Basics Men Blue Slim Fit Checked Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/2811fe105e63b5795a6442edb85bb6cd_images.jpg
19578,women,Apparel,topwear,tops,Purple,Summer,2011.0,Casual,United Colors of Benetton Women Solid Purple Top,top,http://assets.myntassets.com/v1/images/style/properties/97d87b20b1a8810ee10f617a8a7ccc52_images.jpg
27879,women,Apparel,topwear,tops,Blue,Summer,2012.0,Casual,Scullers For Her Women Blue Top,top,http://assets.myntassets.com/v1/images/style/properties/018b322355f8a44f117488fee256049c_images.jpg
6287,men,Apparel,topwear,tshirts,Yellow,Summer,2011.0,Casual,Classic Polo Men's Swiss Yellow T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/Classic-Polo-Mens-Swiss-Yellow-T-shirt_e87fa11cdb977d11d3e673a69f4a63db_images.jpg
7355,men,Apparel,topwear,tshirts,Navy Blue,Fall,2011.0,Casual,Tantra Men's Black Sabbath Navy T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/7c9e2e7c405128361af34be207a439a2_images.jpg
43500,men,Apparel,topwear,tshirts,White,Summer,2012.0,Casual,French Connection Men White T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/9dc3c008c07a5df5b46622ee5d8579de_images.jpg
13270,women,Apparel,topwear,tops,White,Fall,2011.0,Casual,Palm Tree Kids Girls Printed White Tops,top,http://assets.myntassets.com/v1/images/style/properties/b590f001fb08f324b17ce869686b27dc_images.jpg
31120,girls,Apparel,topwear,tops,Pink,Summer,2012.0,Casual,Palm Tree Girls Pink Top,top,http://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg
11527,men,Apparel,topwear,tshirts,Olive,Fall,2011.0,Casual,United Colors of Benetton Men Olive Tshirts,camiseta,http://assets.myntassets.com/v1/images/style/properties/6c598ee94ff155384130481aec05525e_images.jpg
40385,women,Apparel,topwear,tops,Yellow,Summer,2012.0,Casual,Tokyo Talkies Women Yellow Top,top,http://assets.myntassets.com/v1/images/style/properties/9e616458a21ce9d3b0ddf0895b24df0b_images.jpg
15187,men,Apparel,topwear,tshirts,White,Fall,2011.0,Casual,Arrow Sport Men Solid White Polo Tshirts,camiseta,http://assets.myntassets.com/v1/images/style/properties/10d750eb60726aff0c78cd599a20e0ab_images.jpg
14055,men,Apparel,topwear,shirts,Green,Fall,2011.0,Casual,Flying Machine Men Check Green Shirts,camisa,http://assets.myntassets.com/v1/images/style/properties/6934c2d1bc11313536fd82a1192a1d33_images.jpg
20260,men,Apparel,topwear,tshirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Applique Navy Blue Tshirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/7909093ce4f956a24582b330a249d911_images.jpg
28469,women,Apparel,topwear,tshirts,Pink,Summer,2012.0,Casual,Urban Yoga Women Printed Pink T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/8e3ddd6772fdb8b69c328402aa2baa0c_images.jpg
34036,boys,Apparel,topwear,shirts,Blue,Summer,2012.0,Casual,Palm Tree Boys Check Blue Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/17d5cdd77de6f87ee2451b98f3466d88_images.jpg
8779,men,Apparel,topwear,shirts,Navy Blue,Fall,2011.0,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/f3dc8c5e7e7d7394150506a3f2f417c0_images.jpg
2243,men,Apparel,topwear,tshirts,White,Fall,2010.0,Sports,ADIDAS Men Stripe Polo White Polo T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/e1bba450764df5aed92151be769e42d0_images.jpg
33213,women,Apparel,topwear,tops,Magenta,Summer,2012.0,Casual,Sepia Women Printed Magenta Top,top,http://assets.myntassets.com/v1/images/style/properties/cd2a1ae491facf0acf36443998a0c217_images.jpg
39729,women,Apparel,topwear,tops,Olive,Summer,2012.0,Casual,Arrow Woman Olive Top,top,http://assets.myntassets.com/v1/images/style/properties/3d8b78b013627f7e9d738ccec2972480_images.jpg
11143,men,Apparel,topwear,shirts,Black,Fall,2011.0,Casual,Scullers Men Price Catch Black Shirts,camisa,http://assets.myntassets.com/v1/images/style/properties/62f33289f2a1cbc88d6f8557a2c33638_images.jpg
4988,women,Apparel,dress,dresses,White,Summer,2011.0,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear,falda/vestido,http://assets.myntassets.com/v1/images/style/properties/e7559ae62df37abf5338b7992aa8c628_images.jpg
44341,men,Apparel,topwear,tshirts,Blue,Summer,2012.0,Casual,Indian Terrain Men Blue T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/f202fe30bd9441e163b7fbcfcb53e8c2_images.jpg
11371,men,Apparel,topwear,shirts,Black,Fall,2011.0,Casual,United Colors Of Benetton Men Summer Black Shirts,camisa,http://assets.myntassets.com/v1/images/style/properties/79e693b484848f12265b4dd4a155fae9_images.jpg
41401,women,Apparel,topwear,tops,White,Summer,2012.0,Casual,Wrangler Women White Smocked Top,top,http://assets.myntassets.com/v1/images/style/properties/907aca262d340d45f49d7d3690fdc953_images.jpg
4386,men,Apparel,topwear,tshirts,Grey,Summer,2011.0,Casual,Wrangler Cowboy Photo T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/dc7e36dcafbb8aeb71dc2ebbd4427ca7_images.jpg
29789,men,Apparel,topwear,tshirts,Pink,Summer,2013.0,Casual,Basics Men Pack of 3 T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/b5fe34a5c5a88054357f33b0d2b4ce46_images.jpg
7503,men,Apparel,topwear,tshirts,Blue,Summer,2011.0,Sports,Nike Men's As Icon Blue T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/4642a9cf2604998cd7665a76a2bf87c1_images.jpg
34204,men,Apparel,bottomwear,track pants,Navy Blue,Fall,2013.0,Casual,Proline Men Navy Track Pants,pantalon,http://assets.myntassets.com/v1/images/style/properties/15324570d805103032f3a593d495aafe_images.jpg
13426,men,Apparel,topwear,tshirts,Red,Summer,2011.0,Casual,United Colors of Benetton Men Stripes Red  Polo T-shirts,camiseta,http://assets.myntassets.com/v1/images/style/properties/6723c5b48a019f7940ac913e35240620_images.jpg
13846,men,Apparel,topwear,shirts,Blue,Fall,2011.0,Casual,John Miller Men Stripes Blue Shirts,camisa,http://assets.myntassets.com/v1/images/style/properties/5f2cc2a725967d426cc03f4a3fbb93c1_images.jpg
46278,women,Apparel,topwear,tunics,Red,Summer,2012.0,Casual,109F Women Red & White Striped Tunic,top,http://assets.myntassets.com/v1/images/style/properties/279197619f868018854ce9bf9b812b87_images.jpg
16508,men,Apparel,bottomwear,jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans,pantalon,http://assets.myntassets.com/v1/images/style/properties/6cb6a14583b044dca0a0bd9efc2fc4c7_images.jpg
19540,men,Apparel,topwear,sweaters,Blue,Summer,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweater,abrigo,http://assets.myntassets.com/v1/images/style/properties/339f3148805bd725b88cebe54fd52d45_images.jpg
7963,men,Apparel,topwear,tshirts,White,Fall,2011.0,Sports,Puma Men's Large Logo Graphic White French T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/7f50a98d2319c37ba993f4bd39ec1df9_images.jpg
57138,women,Apparel,bottomwear,trousers,Brown,Summer,2012.0,Casual,Elle Women Brown Trousers,pantalon,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Brown-Trousers_a7f66d28a9214c62dc8073fa66146018_images.jpg
15983,men,Apparel,topwear,shirts,Burgundy,Fall,2011.0,Casual,Turtle Solid Men  Burgundy Shirt,camisa,http://assets.myntassets.com/v1/images/style/properties/5dca5cfae72251582c7f14ac099212f3_images.jpg
20258,men,Apparel,topwear,tshirts,Brown,Fall,2011.0,Casual,Wrangler Men Polo Charcoal T-shirt,camiseta,http://assets.myntassets.com/v1/images/style/properties/bf97cd1840466577838074675a9cbe1f_images.jpg
